time,velocity,dist_error
0.000,0.500,0.9960
0.050,0.392,0.9883
0.050,0.387,0.9776
0.050,0.379,0.9619
0.050,0.368,0.9413
0.050,0.356,0.9151
0.050,0.349,0.8941
0.050,0.342,0.8745
0.050,0.335,0.8566
0.050,0.329,0.8399
0.050,0.333,0.8360
0.050,0.310,0.8055
0.050,0.310,0.7902
0.050,0.304,0.7749
0.050,0.298,0.7603
0.050,0.290,0.7428
0.050,0.286,0.7287
0.050,0.280,0.7150
0.050,0.275,0.7016
0.050,0.270,0.6882
0.050,0.265,0.6753
0.050,0.257,0.6588
0.050,0.253,0.6456
0.050,0.248,0.6331
0.050,0.243,0.6207
0.050,0.239,0.6091
0.050,0.235,0.5978
0.050,0.228,0.5837
0.050,0.224,0.5721
0.050,0.220,0.5612
0.050,0.216,0.5505
0.050,0.212,0.5397
0.050,0.206,0.5269
0.050,0.203,0.5167
0.050,0.199,0.5068
0.050,0.195,0.4969
0.050,0.191,0.4876
0.050,0.188,0.4788
0.050,0.183,0.4676
0.050,0.180,0.4587
0.050,0.177,0.4503
0.050,0.173,0.4417
0.050,0.170,0.4330
0.050,0.165,0.4225
0.050,0.162,0.4142
0.050,0.159,0.4057
0.050,0.156,0.3977
0.050,0.153,0.3905
0.050,0.151,0.3835
0.050,0.146,0.3742
0.050,0.144,0.3669
0.050,0.141,0.3591
0.050,0.138,0.3517
0.050,0.135,0.3446
0.050,0.131,0.3360
0.050,0.130,0.3309
0.050,0.128,0.3259
0.050,0.126,0.3204
0.050,0.123,0.3141
0.051,0.121,0.3077
0.050,0.117,0.3000
0.050,0.115,0.2943
0.050,0.113,0.2884
0.050,0.111,0.2833
0.050,0.109,0.2779
0.050,0.106,0.2718
0.050,0.105,0.2671
0.050,0.103,0.2621
0.050,0.101,0.2569
0.050,0.099,0.2518
0.050,0.096,0.2463
0.050,0.094,0.2402
0.050,0.092,0.2357
0.050,0.091,0.2313
0.050,0.089,0.2272
0.050,0.087,0.2220
0.050,0.085,0.2175
0.050,0.084,0.2133
0.050,0.083,0.2094
0.050,0.083,0.2055
0.050,0.083,0.2020
0.050,0.083,0.1969
0.050,0.083,0.1924
0.050,0.083,0.1880
0.050,0.083,0.1849
0.050,0.083,0.1800
0.051,0.083,0.1754
0.050,0.083,0.1719
0.050,0.083,0.1684
0.050,0.083,0.1641
0.050,0.083,0.1602
0.051,0.083,0.1551
0.050,0.083,0.1503
0.050,0.083,0.1468
0.050,0.083,0.1430
0.050,0.083,0.1393
0.050,0.083,0.1361
0.050,0.083,0.1320
0.050,0.083,0.1279
0.050,0.083,0.1252
0.050,0.083,0.1182
0.050,0.083,0.1174
0.050,0.083,0.1124
0.050,0.083,0.1092
0.050,0.083,0.1056
0.050,0.083,0.1007
0.050,0.083,0.0952
0.050,0.083,0.0905
0.050,0.083,0.0872
0.050,0.083,0.0841
0.050,0.083,0.0803
0.050,0.083,0.0755
0.050,0.083,0.0714
0.050,0.083,0.0659
0.050,0.083,0.0616
0.050,0.083,0.0582
0.050,0.083,0.0545
0.050,0.083,0.0503
0.050,0.083,0.0448
0.050,0.083,0.0400
0.050,0.083,0.0358
0.050,0.083,0.0318
0.050,0.083,0.0280
0.050,0.083,0.0234
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.051,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
0.050,0.000,0.0193
