time,velocity,dist_error
0.000,0.500,1.0004
0.050,0.400,1.0004
0.050,0.383,0.9784
0.050,0.377,0.9603
0.050,0.368,0.9399
0.050,0.360,0.9200
0.050,0.351,0.8988
0.050,0.344,0.8788
0.050,0.334,0.8564
0.050,0.329,0.8397
0.050,0.324,0.8248
0.050,0.318,0.8102
0.050,0.312,0.7953
0.050,0.304,0.7773
0.050,0.299,0.7623
0.050,0.293,0.7474
0.050,0.287,0.7330
0.050,0.282,0.7191
0.050,0.274,0.7021
0.050,0.270,0.6890
0.050,0.265,0.6755
0.050,0.260,0.6627
0.050,0.255,0.6497
0.050,0.247,0.6341
0.050,0.244,0.6217
0.050,0.239,0.6097
0.050,0.235,0.5985
0.050,0.230,0.5868
0.050,0.223,0.5722
0.050,0.220,0.5610
0.050,0.216,0.5504
0.050,0.212,0.5397
0.050,0.208,0.5300
0.050,0.202,0.5175
0.050,0.199,0.5076
0.050,0.195,0.4980
0.050,0.192,0.4886
0.050,0.188,0.4794
0.050,0.183,0.4684
0.050,0.180,0.4595
0.050,0.177,0.4506
0.050,0.173,0.4415
0.050,0.169,0.4323
0.050,0.164,0.4214
0.050,0.162,0.4135
0.050,0.159,0.4061
0.050,0.157,0.3997
0.050,0.155,0.3933
0.050,0.152,0.3864
0.050,0.146,0.3755
0.050,0.143,0.3670
0.050,0.141,0.3596
0.050,0.138,0.3527
0.050,0.136,0.3459
0.050,0.132,0.3379
0.050,0.130,0.3312
0.050,0.127,0.3245
0.050,0.125,0.3185
0.050,0.123,0.3129
0.050,0.122,0.3085
0.050,0.116,0.2997
0.050,0.116,0.2945
0.050,0.114,0.2900
0.050,0.112,0.2845
0.050,0.109,0.2788
0.050,0.106,0.2718
0.050,0.104,0.2662
0.050,0.102,0.2606
0.050,0.101,0.2561
0.050,0.099,0.2513
0.050,0.097,0.2464
0.050,0.093,0.2400
0.050,0.093,0.2358
0.051,0.091,0.2313
0.050,0.089,0.2275
0.051,0.089,0.2244
0.051,0.084,0.2177
0.050,0.083,0.2131
0.050,0.083,0.2093
0.050,0.083,0.2053
0.050,0.083,0.2004
0.050,0.083,0.1970
0.050,0.083,0.1929
0.050,0.083,0.1889
0.050,0.083,0.1848
0.050,0.083,0.1809
0.050,0.083,0.1753
0.050,0.083,0.1715
0.051,0.083,0.1681
0.050,0.083,0.1634
0.074,0.083,0.1624
0.050,0.083,0.1521
0.050,0.083,0.1480
0.050,0.083,0.1443
0.050,0.083,0.1400
0.050,0.083,0.1370
0.050,0.083,0.1325
0.050,0.083,0.1214
0.050,0.083,0.1197
0.050,0.083,0.1159
0.050,0.083,0.1116
0.050,0.083,0.1085
0.050,0.083,0.1039
0.050,0.083,0.1013
0.050,0.083,0.0971
0.050,0.083,0.0938
0.050,0.083,0.0880
0.050,0.083,0.0834
0.051,0.083,0.0787
0.050,0.083,0.0748
0.050,0.083,0.0713
0.050,0.083,0.0669
0.050,0.083,0.0606
0.050,0.083,0.0585
0.050,0.083,0.0531
0.050,0.083,0.0435
0.051,0.083,0.0368
0.050,0.083,0.0346
0.050,0.083,0.0304
0.050,0.083,0.0275
0.050,0.083,0.0241
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
0.050,0.000,0.0200
