%% starting
% Lead: tauZ 1 sec, tauP = 0.15 sec, T = 0.002 sec
%       tauZ2pT = 2.002, tauZ2mT = 1.998, tauP2pT = 0.302, tauP2mT = 0.298
% Demo behave:: state changed from 0 to 10 at 24.2410 sec
% Demo behave:: state changed from 10 to 13 at 24.3430 sec
%% following line
% Demo behave:: state changed from 13 to 14 at 24.3450 sec
% followed line in 4.377027 sec
% Demo behave:: state changed from 14 to 90 at 28.7230 sec
% Demo behave:: state changed from 90 to 99 at 29.4690 sec
% Demo behave:: state changed from 99 to 0 at 29.4710 sec
%% finished demo 1
%  1    time 0.0000 sec, from Bode (122)
%  2  3 Motor voltage (V) left, right: 0.00 0.00
%  4  5 Wheel velocity (m/s) left, right: -0.0000 0.0000
%  6    Turnrate (rad/s): 0.0000
%  7  8  9 10 Pose x,y,h,tilt (m,m,rad,rad): 0.0000 0.0000 0.0000 3.1371
% 11 .. 29 Edge sensor: left pos, right pos, line valid, crossing, values d d d d d d d d,  white, used, LED high, average white, line detect count, crossing detect count
% 30    Battery voltage (12.10 V)
0.0000 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13709 0.00 0.00 0 0 0 0 0 0 0 0 0 0  1 1 1 0.00 0 0 12.10 
0.0020 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13711 0.00 0.00 1 0 719 629 649 778 832 754 713 894  1 1 1 0.75 0 1 12.10 
0.0040 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13711 0.87 0.87 1 0 627 584 621 789 884 752 639 698  1 1 1 0.70 0 2 12.10 
0.0060 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13712 0.92 0.92 1 0 593 569 627 802 921 772 618 629  1 1 1 0.69 0 3 12.09 
0.0080 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13714 0.92 0.92 1 0 583 566 634 817 944 785 597 596  1 1 1 0.69 0 4 12.09 
0.0100 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13716 0.92 0.92 1 0 586 581 639 825 959 792 599 574  1 1 1 0.69 0 5 12.09 
0.0120 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13717 0.90 0.90 1 0 572 584 654 836 960 790 594 570  1 1 1 0.70 0 6 12.08 
0.0140 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13717 0.93 0.93 1 0 563 576 636 822 969 790 599 566  1 1 1 0.69 0 7 12.09 
0.0160 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13718 0.95 0.95 1 0 555 573 634 828 972 802 582 534  1 1 1 0.69 0 8 12.09 
0.0180 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13719 0.93 0.93 1 0 582 568 639 825 948 794 596 578  1 1 1 0.69 0 9 12.09 
0.0200 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13720 0.92 0.92 1 0 563 564 646 832 968 795 587 583  1 1 1 0.69 0 10 12.09 
0.0220 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13721 0.92 0.92 1 0 574 571 644 828 975 792 581 585  1 1 1 0.69 0 11 12.09 
0.0240 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13724 0.93 0.93 1 0 552 575 647 832 975 797 586 606  1 1 1 0.70 0 12 12.08 
0.0260 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13727 0.96 0.96 1 0 566 563 648 836 992 813 579 581  1 1 1 0.70 0 13 12.08 
0.0280 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13731 0.95 0.95 1 0 570 583 641 828 977 804 579 555  1 1 1 0.69 0 14 12.07 
0.0300 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13735 0.96 0.96 1 0 555 584 640 828 973 810 585 559  1 1 1 0.69 0 15 12.07 
0.0320 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13737 0.91 0.91 1 0 561 580 640 824 965 785 579 557  1 1 1 0.69 0 16 12.08 
0.0340 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13741 0.94 0.94 1 0 570 563 631 830 965 801 604 568  1 1 1 0.69 0 17 12.08 
0.0360 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.13744 0.91 0.91 1 0 586 566 635 821 973 781 600 568  1 1 1 0.69 0 18 12.07 
