%% starting
% Lead: tauZ 0.8 sec, tauP = 0.15 sec, T = 0.002 sec
%       tauZ2pT = 1.602, tauZ2mT = 1.598, tauP2pT = 0.302, tauP2mT = 0.298
% Demo behave:: state changed from 0 to 10 at 11.3930 sec
% Demo behave:: state changed from 10 to 13 at 11.4950 sec
%% following line
% Demo behave:: state changed from 13 to 14 at 11.4970 sec
% followed line in 4.301055 sec
% Demo behave:: state changed from 14 to 90 at 15.7990 sec
% Demo behave:: state changed from 90 to 99 at 16.5270 sec
% Demo behave:: state changed from 99 to 0 at 16.5290 sec
%% finished demo 1
%  1    time 0.0000 sec, from Bode (122)
%  2  3 Motor voltage (V) left, right: 0.00 0.00
%  4  5 Wheel velocity (m/s) left, right: -0.0000 0.0000
%  6    Turnrate (rad/s): 0.0000
%  7  8  9 10 Pose x,y,h,tilt (m,m,rad,rad): 0.0000 0.0000 0.0000 3.1404
% 11 .. 29 Edge sensor: left pos, right pos, line valid, crossing, values d d d d d d d d,  white, used, LED high, average white, line detect count, crossing detect count
% 30    Battery voltage (12.02 V)
0.0000 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14039 0.00 0.00 0 0 0 0 0 0 0 0 0 0  1 1 1 0.00 0 0 12.02 
0.0020 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14039 0.00 0.00 1 0 733 634 617 724 815 812 773 900  1 1 1 0.75 0 1 12.01 
0.0040 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14041 1.82 1.82 1 0 648 594 596 692 846 853 740 732  1 1 1 0.71 0 2 12.01 
0.0060 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14042 1.68 1.68 1 0 624 593 591 692 872 884 751 662  1 1 1 0.71 0 3 12.01 
0.0080 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14044 1.67 1.67 1 0 604 588 592 699 886 915 747 617  1 1 1 0.71 0 4 12.01 
0.0100 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14045 1.67 1.67 1 0 610 590 585 695 898 929 751 617  1 1 1 0.71 0 5 12.01 
0.0120 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14045 1.59 1.59 1 0 594 588 605 721 910 929 744 604  1 1 1 0.71 0 6 12.02 
0.0140 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14046 1.67 1.67 1 0 597 588 588 712 913 931 761 593  1 1 1 0.71 0 7 12.02 
0.0160 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14046 1.63 1.63 1 0 610 585 585 712 913 947 743 557  1 1 1 0.71 0 8 12.01 
0.0180 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14047 1.72 1.72 1 0 613 596 592 701 889 938 761 600  1 1 1 0.71 0 9 12.01 
0.0200 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14049 1.63 1.63 1 0 596 579 602 723 909 940 754 600  1 1 1 0.71 0 10 12.00 
0.0220 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14045 1.62 1.62 1 0 602 590 600 703 913 940 738 596  1 1 1 0.71 0 11 12.01 
0.0240 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14044 1.62 1.62 1 0 585 594 602 704 914 940 738 587  1 1 1 0.71 0 12 12.00 
0.0260 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14046 1.64 1.64 1 0 594 590 588 699 917 942 744 570  1 1 1 0.71 0 13 12.01 
0.0280 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14043 1.64 1.64 1 0 600 585 594 708 918 939 748 576  1 1 1 0.71 0 14 12.00 
0.0300 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14044 1.66 1.66 1 0 605 595 602 704 914 939 754 606  1 1 1 0.72 0 15 12.00 
0.0320 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14044 1.77 1.77 1 0 600 586 598 703 892 946 779 574  1 1 1 0.71 0 16 12.00 
0.0340 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14046 1.64 1.64 1 0 602 585 608 724 901 933 758 593  1 1 1 0.71 0 17 12.00 
0.0360 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14047 1.72 1.72 1 0 583 570 601 703 897 931 765 595  1 1 1 0.71 0 18 11.99 
0.0380 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14047 1.66 1.66 1 0 608 586 608 704 903 929 748 585  1 1 1 0.71 0 19 12.00 
0.0400 0.00 0.00 -0.0000 0.0000 0.0000 0.0000 0.0000 0.00000 3.14050 1.65 1.65 1 0 621 585 598 709 911 930 751 608  1 1 1 0.71 0 20 12.00 
