% Motor voltage for all motors
% 1 	Time (sec)
% 2-3 	Voltage to motor (to Teensy) 1,2 (Volt)
% 4-5 	Voltage to motor (from Teensy) 1,2 (Volt)
% 6-7 	PWM to motor (+/- 2096) (from Teensy) 1,2
% 8 	Relax motor controller (standing still for some time)
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331987.8178 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331987.8426 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331987.8682 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331987.8929 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331987.9177 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331987.9431 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331987.9679 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
1738331987.9927 0.00 0.00 0.00 0.00 0 0 1
1738331981.3085 0.00 0.00 0.00 0.00 0 0 1
