dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.0116,-0.072754,-0.044189,1.317871,0.51534,1.1256279999999999,16.55208,0.0001623995896579804,-4.7605978002643536e-11,-1.8026820294201193e-06,-0.43176304166236085,0.6500314386442076,0.18947149998578314,-0.06,0.149,-2.438
0.012,-0.039551,-0.037109,1.250244,1.705525,-2.475447,17.803301,0.00031838464591347283,5.047230227816393e-07,-4.327823817988148e-06,-0.6567409278312545,0.7587899583637127,0.4001368278304837,-0.06,0.149,-2.4357
0.012,-0.002197,-0.05542,1.241699,-0.46122299999999994,-4.886335,24.852861,0.0005223775548128072,1.8821849825703116e-06,-5.125715316564828e-06,-0.9913479986898033,0.4966296213483111,0.6944860982316627,-0.06,0.149,-2.4323
0.0119,-0.101074,-0.087891,1.312256,0.027058,1.797014,27.477373,0.0007483945318388708,4.621170636871677e-06,-1.3975943889923496e-05,-1.442309800450665,1.0559917600016,1.0167137161251651,-0.06,0.149,-2.4288
0.0121,-0.097168,-0.067871,1.290283,-0.156047,1.735979,25.524248,0.0009781460835368058,8.713926767151756e-06,-2.4930182088433954e-05,-1.6763426893215918,1.481530498212338,1.3215914935924575,-0.06,0.149,-2.4242
0.0121,0.017334,0.027588,1.260254,0.362752,-5.069441,24.730791,-0.0013197340847069085,-4.457076292746002e-05,2.6822178951014937e-05,-1.310348651003487,1.0989772596715592,1.6303262396162614,-0.06,0.149,-2.4207
0.012,0.108398,-0.003662,1.252686,0.912068,-3.8182199999999997,19.634355000000003,-0.0006065873817802101,-2.442562911988348e-05,5.189559319943329e-06,-1.1727395014601762,0.310616247968473,1.864630428673545,-0.061,0.148,-2.4242
0.0121,0.11084,0.095947,1.288818,2.132771,4.238421,10.143388999999999,0.0001670926493101295,4.704362694179739e-07,2.7404426581358704e-06,-0.5790876801090774,-0.2561730561376145,1.9809329553188297,-0.061,0.148,-2.4207
0.0121,-0.109375,0.060791,1.349854,3.506062,5.672747,9.899248,3.4274097386850074e-05,-4.126872207851698e-06,1.8612487628923976e-06,-0.22265399791043788,0.2222181993157759,2.0925923461777627,-0.061,0.148,-2.4149
0.0121,0.097168,-0.058838,1.271973,-3.3298750000000004,-0.9495680000000001,20.397295000000003,-0.00017152407504523169,-1.1708384808910014e-05,1.2629263707191229e-06,-0.4658806147226302,-0.2637699747431932,2.3468944366390323,-0.061,0.148,-2.4103
0.012,-0.033691,-0.075684,1.211426,-1.49882,-2.93321,18.901934,0.00011028206178800116,-6.2060575080448e-08,2.4029663098621984e-06,-0.7400983988987855,-0.2011437600751596,2.5792660550465185,-0.061,0.148,-2.4091
0.0119,-0.011963,0.032227,1.272461,-0.9189860000000001,0.454241,16.277422,0.0006155223854273378,2.2609193330833432e-05,4.138102034459074e-06,-0.5705002674774358,-0.19170267771248742,2.7692445897694635,-0.061,0.148,-2.4057
0.0121,-0.000732,-0.057861,1.400146,-0.7663989999999999,2.9566820000000003,22.350420000000003,0.0018059456782283506,8.030889656168967e-05,9.256190909222171e-06,-0.7112763596838176,-0.1881440355310058,3.042078593308938,-0.061,0.148,-2.4033
0.0118,-0.057129,-0.10083,1.320312,0.423787,4.635149,23.23543,-0.00040335642784023135,-3.7036552017134466e-05,3.049195029771243e-06,-0.9657445369413858,0.008157819675782886,3.320119689372094,-0.061,0.148,-2.401
0.0122,-0.195801,-0.077148,1.25415,0.179646,-3.69615,12.798418,0.0004921235507231159,1.5110034366214382e-05,-1.7485107201825045e-06,-1.1345560257677012,0.5199549953162748,3.481808515659308,-0.062,0.147,-2.4045
0.0119,0.348389,0.258545,1.093262,5.67281,-7.419294,5.016436,0.0015547653270736742,7.918402149583558e-05,1.8398897068720053e-05,-0.22723932513322334,-0.6790962787097847,3.532525032641817,-0.062,0.147,-2.401
0.0121,-0.081787,-0.056641,1.39624,4.879353,7.320696,19.756426,0.0014642640174541016,7.364759434064501e-05,1.2350760752116335e-05,-0.2941227958907446,-0.392096527332867,3.773070894474773,-0.062,0.147,-2.3929
0.0121,-0.50708,-0.277588,1.712646,-1.163127,12.661271999999999,22.167314,0.0013619560754867142,6.708427637911124e-05,-9.47709678493079e-06,-0.7941734739702898,0.669985015133286,4.0400035448480685,-0.062,0.147,-2.3918
0.012,0.044678,-0.145996,1.13623,-2.9636639999999996,-3.787703,23.662676,0.001565371831520619,8.132619342568871e-05,-6.351479805512406e-06,-1.1882404540708125,0.43338269284350217,4.317007758168282,-0.063,0.146,-2.3918
