dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.394767,0,0,0,0.06134,0.048279,-0.051727,0.0,0.0,0.0,4.718234217890649,-14.525974465633304,-0.6182131857750395,2.215,0.514,0.1198
0.0117,-0.013428,-0.014404,1.309814,0.030823,0.170349,0.192413,0.0,0.0,0.0,3.5897695711094215,-11.532519631095946,-0.3554158542829945,2.215,0.514,0.1198
0.0122,-0.011475,-0.010254,1.314697,-0.213318,-0.012756,0.192413,0.0,0.0,0.0,2.9057430670597566,-9.596198400025862,-0.22528654426542416,2.215,0.514,0.1198
0.012,-0.012207,-0.008789,1.307861,0.000305,0.048279,0.161896,0.0,0.0,0.0,2.441371099173365,-8.220680347348686,-0.14949486523411973,2.215,0.514,0.1198
0.0114,-0.013184,-0.012939,1.312012,0.06134,0.109314,0.161896,0.0,0.0,0.0,2.067857028808597,-7.187750037845003,-0.09624865147732109,2.215,0.514,0.1198
0.0126,-0.012939,-0.010254,1.313721,0.122375,-0.195862,-0.082245,0.0,0.0,0.0,1.7982840891565977,-6.391468690334795,-0.06394346395463517,2.215,0.514,0.1198
0.0115,-0.016602,-0.010986,1.313965,-0.152283,0.231384,-0.112762,0.0,0.0,0.0,1.5769136319744905,-5.730866730659103,-0.040722804555209845,2.215,0.514,0.1198
0.0128,-0.015869,-0.012207,1.313232,-0.06073,0.200867,0.009308,0.0,0.0,0.0,1.3906214917939315,-5.194786929425765,-0.02229319460856758,2.215,0.514,0.1198
0.0112,-0.012451,-0.012451,1.308105,0.213928,0.078796,0.039825,0.0,0.0,0.0,1.2372995380224432,-4.766130581079819,-0.008330745949720572,2.215,0.514,0.1198
0.0125,-0.015869,-0.01001,1.307617,-0.06073,0.322937,0.161896,0.0,0.0,0.0,1.1159315136993455,-4.385667689114754,0.004682979745758319,2.215,0.514,0.1198
0.0123,-0.013916,-0.012939,1.309814,-0.06073,0.048279,0.222931,0.0,0.0,0.0,0.9998971928858362,-4.070648954348052,0.01566494741515794,2.215,0.514,0.1198
0.0117,-0.015869,-0.011475,1.310059,0.06134,0.139832,0.100861,0.0,0.0,0.0,0.906578031278367,-3.789271275416418,0.023933499559436022,2.215,0.514,0.1198
0.0118,-0.015869,-0.013916,1.314697,-0.243835,0.231384,0.100861,0.0,0.0,0.0,0.8130003138847554,-3.542058392702749,0.030533724550236025,2.215,0.514,0.1198
0.014,-0.011963,-0.008301,1.303711,0.091858,0.139832,0.406036,0.0,0.0,0.0,0.7528302083495683,-3.3375674553986268,0.0412716403522984,2.215,0.514,0.1198
0.011,-0.015137,-0.011963,1.31543,-0.06073,0.078796,0.345001,0.0,0.0,0.0,0.6861435176053673,-3.1466833353468293,0.04895099865349233,2.215,0.514,0.1198
0.0108,-0.013184,-0.012939,1.314941,0.183411,0.170349,0.253448,0.0,0.0,0.0,0.6260724311558922,-2.9808505803921235,0.05442774971703419,2.215,0.514,0.1198
0.0126,-0.011475,-0.012939,1.319336,-0.030212,0.048279,0.161896,0.0,0.0,0.0,0.5699813091382416,-2.837480863881222,0.058525832683601814,2.215,0.514,0.1198
0.0112,-0.010498,-0.011963,1.310059,0.152893,-0.104309,0.375519,0.0,0.0,0.0,0.523660455050704,-2.712198592589086,0.06457557647111252,2.215,0.514,0.1198
0.0157,-0.011719,-0.015625,1.30957,-0.243835,0.017761,0.131378,0.0,0.0,0.0,0.4667219291231002,-2.5935892336341597,0.06732871164033148,2.215,0.514,0.1198
0.0087,-0.014404,-0.012695,1.311279,-0.091248,-0.104309,0.192413,0.0,0.0,0.0,0.42499610510506114,-2.4797617163607253,0.07086140907430448,2.215,0.514,0.1198
0.0122,-0.013672,-0.013428,1.310791,-0.030212,0.200867,0.070343,0.0,0.0,0.0,0.3853673550215764,-2.373960767173808,0.07302370254733138,2.215,0.514,0.1198
0.0118,-0.013184,-0.012451,1.3125,0.000305,0.017761,-0.082245,0.0,0.0,0.0,0.3516199565464299,-2.2797603722104927,0.07342303643327269,2.215,0.514,0.1198
0.0117,-0.012207,-0.015869,1.315186,-0.121765,-0.073792,0.131378,0.0,0.0,0.0,0.311405293531756,-2.1959960678397654,0.07491602169225552,2.215,0.514,0.1198
0.0121,-0.013428,-0.01123,1.310059,0.122375,0.109314,0.161896,0.0,0.0,0.0,0.28682465440698673,-2.113710017890883,0.07850265595661929,2.215,0.514,0.1198
0.0193,-0.012939,-0.012939,1.314453,-0.091248,0.170349,0.192413,0.0,0.0,0.0,0.25722742634576173,-2.036021161848809,0.08307053714483822,2.215,0.514,0.1198
0.0054,-0.015869,-0.011719,1.312988,0.335999,-0.104309,0.100861,0.0,0.0,0.0,0.23568301591451576,-1.9615435711323184,0.0851853902470665,2.215,0.514,0.1198
0.0118,-0.012207,-0.013672,1.313477,0.183411,0.200867,0.161896,0.0,0.0,0.0,0.212096367524874,-1.8963217748547554,0.08732983010161453,2.215,0.514,0.1198
0.0122,-0.01416,-0.013184,1.319336,0.06134,-0.043274,0.161896,0.0,0.0,0.0,0.1897217980000671,-1.8343144310137067,0.08994709274516355,2.215,0.514,0.1198
0.012,-0.016602,-0.012695,1.312012,0.183411,0.017761,0.253448,0.0,0.0,0.0,0.17095359982746275,-1.7709902858409656,0.09405641720573753,2.215,0.514,0.1198
0.0112,-0.014404,-0.012695,1.310303,0.213928,0.170349,-0.082245,0.0,0.0,0.0,0.15366527520161866,-1.7137460594051792,0.09378297720386672,2.215,0.514,0.1198
0.0122,-0.014404,-0.012451,1.312256,-0.030212,0.109314,0.039825,0.0,0.0,0.0,0.13517309553736256,-1.6603358467984493,0.09494535145012137,2.215,0.514,0.1198
0.0117,-0.016846,-0.013672,1.30835,-0.091248,-0.073792,0.131378,0.0,0.0,0.0,0.11491337783738015,-1.6079322154990618,0.09702529832970712,2.215,0.514,0.1198
0.0122,-0.014648,-0.012939,1.307617,0.030823,-0.165344,0.039825,0.0,0.0,0.0,0.09836340231051824,-1.5631550599444393,0.09795142088395199,2.215,0.514,0.1198
0.0126,-0.01123,-0.015869,1.312744,-0.030212,0.048279,0.039825,0.0,0.0,0.0,0.07730197462742366,-1.5237231760060872,0.09741448159224941,0.0,0.0,0.0
0.0118,-0.017334,-0.013184,1.312012,-0.030212,0.048279,0.131378,0.0,0.0,0.0,0.06154530736974914,-1.4768281573876187,0.09970740354241812,0.0,0.0,0.0
0.0119,-0.017334,-0.013428,1.311035,0.183411,0.109314,0.283966,0.0,0.0,0.0,0.04861829903607034,-1.4315799738207062,0.10367900959151385,0.0,0.0,0.0
0.0124,-0.01709,-0.012451,1.309082,-0.1828,0.109314,0.161896,0.0,0.0,0.0,0.03352160133935403,-1.3888204126130659,0.10653795147942283,0.0,0.0,0.0
0.0123,-0.016846,-0.01416,1.310791,0.213928,0.109314,0.070343,0.0,0.0,0.0,0.021404415044052875,-1.3484471095515564,0.10758288446808396,0.0,0.0,0.0
0.0116,-0.01001,-0.012451,1.30835,0.091858,-0.012756,0.100861,0.0,0.0,0.0,0.01079110738561605,-1.3211828518431268,0.10856977790226137,0.0,0.0,0.0
0.0112,-0.010498,-0.012451,1.309082,0.06134,0.109314,-0.02121,0.0,0.0,0.0,0.0003607612270793744,-1.293154048821791,0.10821224964963767,0.0,0.0,0.0
0.012,-0.012207,-0.010498,1.308105,0.183411,0.170349,0.222931,0.0,0.0,0.0,-0.00549147535292865,-1.2632031858803514,0.11160802348174491,0.0,0.0,0.0
0.0122,-0.01416,-0.012451,1.313721,-0.030212,-0.012756,-0.082245,0.0,0.0,0.0,-0.016064273508332477,-1.2340244242337086,0.11091698781739738,0.0,0.0,0.0
0.012,-0.016602,-0.01123,1.311768,-0.121765,-0.073792,0.039825,0.0,0.0,0.0,-0.025688270259857936,-1.2035825975701049,0.11239381035802985,0.0,0.0,0.0
0.0123,-0.012451,-0.011719,1.30249,0.122375,0.109314,0.253448,0.0,0.0,0.0,-0.032807971661147135,-1.177631148270473,0.11575878768024013,0.0,0.0,0.0
0.0118,-0.016602,-0.011963,1.311768,-0.1828,0.048279,0.161896,0.0,0.0,0.0,-0.043401371126823074,-1.1481742705170763,0.11836354715132157,0.0,0.0,0.0
0.0123,-0.010498,-0.013672,1.312256,0.06134,0.078796,0.314484,0.0,0.0,0.0,-0.052954332346153,-1.1271031399938134,0.12160909941534026,0.0,0.0,0.0
0.0122,-0.025391,-0.017578,1.288574,-0.793152,-1.843811,0.8638,0.0,0.0,0.0,-0.07751148161867745,-1.1112686114787578,0.13220802882237506,0.0,0.0,0.0
0.0121,-0.081299,-0.009521,1.212402,-1.06781,-8.313538,1.901398,0.0,0.0,0.0,-0.09499594820704516,-1.099300882422252,0.1654509894448539,0.0,0.0,0.0
0.0114,-0.127197,0.024414,1.428467,4.364319,-1.904846,-1.943817,0.0,0.0,0.0,-0.011888347836714178,-0.9756847983850125,0.1666485328829872,0.0,0.0,0.0
0.0126,-0.097168,-0.013916,1.222412,2.746887,-1.843811,0.161896,0.0,0.0,0.0,0.0109127598248458,-0.8753805693403279,0.17680783106655645,0.0,0.0,0.0
0.0113,-0.015625,-0.145752,1.377441,-2.685242,4.717468,7.821808,0.0,0.0,0.0,-0.17405339890306307,-0.8047449958703032,0.2192049376633104,-0.0,0.0,-0.0016
0.0121,0.002686,-0.127197,1.269775,-2.929382,3.008484,10.995636,0.0,0.0,0.0,-0.34988308076941416,-0.7730528787041774,0.30826311316565236,-0.0,0.0,-0.0016
0.0124,0.065918,-0.064941,1.391357,2.350159,-2.36261,12.552032,0.0,0.0,0.0,-0.38004005131369845,-0.8703859436988488,0.4371539814275408,-0.0,0.0,-0.0016
0.0124,0.144531,0.034912,1.387451,1.343079,1.909851,8.615265,0.0,0.0,0.0,-0.31742511952869706,-0.9938802112688154,0.5369113162984772,-0.0,0.0,0.0
0.0115,0.074463,-0.016846,1.187256,-0.884705,-0.958801,5.288849,0.0,0.0,0.0,-0.33707831664255544,-1.0919307543781291,0.5838329839727638,-0.0,0.0,0.0016
0.0124,0.074951,0.022705,1.348877,-0.06073,1.482605,1.809845,0.0,0.0,0.0,-0.3035071436184985,-1.146244911628573,0.605182262148655,-0.0,0.0,0.0016
0.0117,0.001709,0.079346,1.392822,1.06842,0.65863,-1.547089,0.0,0.0,0.0,-0.2016504333717759,-1.1336943957545462,0.6090368941109375,-0.0,0.0,0.0016
0.0114,-0.008301,0.032959,1.26123,0.244446,-1.386047,-1.791229,0.0,0.0,0.0,-0.15387055289955504,-1.1353149241949245,0.6009577456158861,-0.0,0.0,0.0016
0.0128,-0.025146,0.001221,1.311279,-1.434021,8.074402,-2.950897,0.0,0.0,0.0,-0.16217886821163194,-1.0024893896489493,0.5682691179744173,-0.0,0.0,0.0016
0.0115,0.006348,0.087646,1.22998,-1.495056,28.307556,-6.82663,0.0,0.0,0.0,-0.07518452028021644,-0.6879360356024816,0.5135533354167947,-0.0,0.0,0.0016
0.0123,0.273438,0.188965,2.303467,1.159973,37.5849,-10.427704,0.0,0.0,0.0,0.050034506965743936,-0.38494756407215697,0.39895907309241824,-0.0,0.0,0.0016
0.0121,0.356934,-0.184082,1.682373,-8.941345,52.233337,-0.570526,0.0,0.0,0.0,-0.1897089158166105,-0.03512499391200877,0.34234615287488146,-0.0,0.0,0.0016
0.0118,0.208252,0.014648,2.325684,-4.424744,72.100281,4.678497,0.0,0.0,0.0,-0.22669106342744116,0.676535554244326,0.38491792390915874,-0.0,0.0,0.0016
0.0147,0.118164,0.10083,1.046143,7.324524,49.151062,-1.211395,0.0,0.0,0.0,0.009019698737504049,1.211721476637093,0.3720173344904106,-0.0,0.0,0.0016
0.0089,0.029541,-0.057373,0.80127,5.432434,24.706482,-9.237518,0.0,0.0,0.0,-0.02754883649066559,1.3355539450680713,0.2716960496283947,-0.0,0.0,0.0016
0.0123,0.011719,-0.171387,1.020752,-7.812195,27.208923,-0.173798,0.0,0.0,0.0,-0.3205636283590575,1.609341966332443,0.2381983473978825,0.0,0.0,0.0
0.0125,-0.241699,-0.067383,1.313721,2.258606,8.22699,-7.406464,0.00016241869091866877,7.163391560107125e-07,-5.096432209784203e-06,-0.3474329332328549,1.8956982169957637,0.15875443610282414,0.001,-0.0,-0.0065
0.0148,-0.104492,0.251953,1.209473,6.62262,-6.360413,-15.432587,0.0010720833210664763,4.11445578854413e-06,-3.631465053394116e-05,-0.002933017310542097,1.8597368910083134,-0.022399190284332567,0.002,-0.0,-0.0081
0.0086,-0.219238,0.010498,1.018555,-1.861267,-6.299377,-1.699677,0.0016391953561540461,4.416565058102539e-06,-6.0862670369675726e-05,-0.0019234812202635827,2.0156904526653374,-0.018672456742323137,0.003,-0.0,-0.0097
0.0121,-0.168701,0.009521,0.721436,-3.020935,-36.145569,-4.019012,0.002999254640272485,5.041773645108761e-06,-0.0001206813917191171,-0.016855383078273375,1.8030260111778942,-0.046737704392981624,0.004,-0.0,-0.0097
0.0133,-0.078857,0.207275,1.036865,1.678772,-47.528625,-10.946503,0.004355084668886354,8.563877266044715e-06,-0.00016733800720692665,0.23602021448275817,1.2238001853526475,-0.13387828043037542,0.005,-0.0,-0.0113
0.0103,-0.255615,-0.068115,0.993164,-2.9599,-66.419006,-10.061493,0.005924868919377791,3.5133920898897773e-06,-0.00022819446492901258,0.1289402513096988,0.8045189306846025,-0.25172768963343317,0.008,-0.0,-0.013
0.0125,0.024658,-0.012939,0.881592,0.427551,-77.069641,-16.714325,0.007812268502574874,-5.546314340620222e-06,-0.00024801727212365717,0.12010395062777808,-0.20811384046104067,-0.4682027239421441,0.009,-0.0,-0.0146
0.0121,-0.077148,-0.255615,1.051025,-1.037292,-91.44342,-12.319794,0.009512067842526119,-3.1011823395343714e-05,-0.00025585774639243236,-0.155367894228378,-1.2299062805151557,-0.6788446277022606,0.01,-0.0,-0.0194
0.0119,-0.217529,0.151367,0.799316,1.678772,14.635681,-23.45871,0.011183376410857877,-3.390506334761964e-05,-0.00027323258575262326,0.07990986749345276,-0.7736268050876671,-0.8781291977321274,0.012,-0.0,-0.0243
0.0121,-0.759766,-0.668945,1.695068,12.176819,-9.808899,-18.606415,0.012822215099647049,-8.126982186647453e-05,-0.0003405001903717898,-0.12819185971432448,-0.48465911267735384,-1.1948789834464209,0.014,-0.0,-0.0259
0.012,-0.025635,0.081787,1.681885,5.462952,-4.834534,-14.272919,0.014207924882941786,-0.0001036158984644034,-0.0003322777156257002,-0.0020541418764897894,-0.527391350461232,-1.3409089101301193,0.014,-0.0,-0.0243
