dt,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fused_x,fused_y,fused_z,roll,pitch,yaw,pose_x,pose_y,pose_yaw
0.0121,-0.00415,-0.012207,1.30835,0.152893,0.017761,-0.14328,0.0,0.0,0.0,-0.08230195237717279,-0.1198061030573257,-0.0016458609936519403,0.013,-0.0,0.0227
0.0122,0.002686,-0.010498,1.313721,0.305481,0.231384,-0.051727,0.0,0.0,0.0,-0.11931153947048351,-0.2606795131443141,-0.0021622278015546582,0.013,-0.0,0.0227
0.0121,0.002441,-0.010986,1.310059,0.397034,0.078796,0.100861,0.0,0.0,0.0,-0.14837834454357246,-0.3611437878717054,-0.0007667536422749855,0.013,-0.0,0.0227
0.0123,-0.001709,-0.009277,1.312256,0.335999,0.261902,-0.02121,0.0,0.0,0.0,-0.15819879230737557,-0.40534781584029783,-0.0009488462101792121,0.013,-0.0,0.0227
0.0121,0.000977,-0.006348,1.30957,0.305481,0.292419,0.039825,0.0,0.0,0.0,-0.14761268599825425,-0.45601712575677994,-0.0005794940505208958,0.013,-0.0,0.0227
0.0114,0.002197,-0.010986,1.310303,-0.06073,0.383972,0.283966,0.0,0.0,0.0,-0.16871964437334971,-0.5022635685374904,0.002836313951611033,0.013,-0.0,0.0227
0.012,-0.001709,-0.014648,1.311523,0.305481,0.200867,0.161896,0.0,0.0,0.0,-0.20072705652166453,-0.5215595245466365,0.005184293088741127,0.013,-0.0,0.0227
0.0122,0.004883,-0.009277,1.311279,0.274963,0.109314,0.100861,0.0,0.0,0.0,-0.2023016670771193,-0.5692691076661388,0.006404322778646249,0.013,-0.0,0.0227
0.012,0.001953,-0.009521,1.306152,0.030823,0.200867,0.253448,0.0,0.0,0.0,-0.20728950083842154,-0.5962041935448866,0.009470303506027875,0.013,-0.0,0.0227
0.0122,-0.001953,-0.007812,1.312256,0.335999,-0.012756,-0.173798,0.0,0.0,0.0,-0.20108582179253648,-0.6055526787774012,0.007303557418834172,0.013,-0.0,0.0227
0.0125,-0.000732,-0.010254,1.311768,0.519104,0.292419,0.070343,0.0,0.0,0.0,-0.20240041080298185,-0.6147051280427066,0.008272807201404978,0.0,0.0,0.0
0.0111,-0.001465,-0.013428,1.306885,0.213928,-0.012756,0.375519,0.0,0.0,0.0,-0.2183307422671142,-0.6236354542248919,0.012722428100999356,0.0,0.0,0.0
0.0123,0.003662,-0.006836,1.307617,0.397034,0.048279,0.222931,0.0,0.0,0.0,-0.20793234768244026,-0.6478794799283728,0.015314715889550828,0.0,0.0,0.0
0.0122,-0.001465,-0.010498,1.311523,0.488586,0.139832,0.009308,0.0,0.0,0.0,-0.2088481763091389,-0.6521136927156964,0.015531210903819837,0.0,0.0,0.0
0.0116,0.000244,-0.007568,1.309814,0.427551,0.261902,0.192413,0.0,0.0,0.0,-0.2016199210764585,-0.6596946655321129,0.017687349389918585,0.0,0.0,0.0
0.0122,-0.000244,-0.008301,1.311768,0.183411,0.261902,-0.173798,0.0,0.0,0.0,-0.19946968723039674,-0.6647955359819157,0.015539695020585973,0.0,0.0,0.0
